"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation","...9","...10"
"ZNF516",-0.993166411687439,1.88148728814393,-8.08214458096088,8.09286309347191e-13,2.77343784738007e-11,18.6683140414442,"Down",NA,"'ZNF516',"
"PTN",-0.993635683179737,4.63126494979467,-3.1924526605331,0.00183056136239172,0.00481524104917155,-2.18166594086562,"Down",NA,"'PTN',"
"EVA1A",-0.99409965746082,0.977643603202822,-5.2448838003009,7.44675297306004e-07,4.48668160396976e-06,5.2462348006655,"Down",NA,"'EVA1A',"
"HFE",-0.99430812195899,1.56832959663591,-12.5091227306546,5.17912490066636e-23,3.15339651451906e-20,41.8003284643526,"Down",NA,"'HFE',"
"COX7A1",-0.995970755124739,3.96788265333371,-4.61456693628416,1.05320990286592e-05,4.8723033354739e-05,2.69310712147453,"Down",NA,"'COX7A1',"
"CA2",-0.996828907622726,2.19731470664803,-2.36433109179968,0.0197808593570994,0.039073989079353,-4.33420153732126,"Down",NA,"'CA2',"
"CHP2",-0.997144203355702,0.895366571577204,-9.17398171387747,2.6218203698434e-15,2.06423150325688e-13,24.3103536244967,"Down",NA,"'CHP2',"
"ANGPTL1",-0.997198989393399,1.32373967096691,-6.30417961205981,5.87810159817101e-09,6.28994749807802e-08,9.95358841837393,"Down",NA,"'ANGPTL1',"
"ITGA2",-0.997728808620009,2.22911891848237,-7.15969941371943,8.94550313655322e-11,1.64716290617219e-09,14.0483094964619,"Down",NA,"'ITGA2',"
"ZNF655",-1.00067849724563,2.25931410600206,-7.87319243144321,2.38216948060057e-12,7.00687725163447e-11,17.6071454021703,"Down",NA,"'ZNF655',"
"TBX4",-1.00083189937852,0.927028132221114,-6.22331930728087,8.63217754284999e-09,8.84822418617833e-08,9.57860797235844,"Down",NA,"'TBX4',"
"NEXN",-1.00145968889956,3.13676098220339,-4.87412685105543,3.62274239743355e-06,1.86152926565518e-05,3.71898996804811,"Down",NA,"'NEXN',"
"KCNJ8",-1.00201991947874,2.49984593114241,-5.90495976784921,3.83387309117046e-08,3.25416012468957e-07,8.12562280350102,"Down",NA,"'KCNJ8',"
"CLDN2",-1.0022122546381,0.692633767728019,-3.05348206221715,0.00282518873489663,0.00707352092370494,-2.58138191223708,"Down",NA,"'CLDN2',"
"AMOT",-1.00223699426898,2.49701553657312,-5.52410854323429,2.17043076827478e-07,1.49604107220027e-06,6.4407409939531,"Down",NA,"'AMOT',"
"PRIMA1",-1.00257332137344,1.5986263867256,-6.3213033131758,5.41721875973737e-09,5.87019401385934e-08,10.03329188944,"Down",NA,"'PRIMA1',"
"P2RX1",-1.00282302209541,1.56848839152241,-5.54133569873393,2.0092628757363e-07,1.39548272578704e-06,6.51560833690379,"Down",NA,"'P2RX1',"
"IL33",-1.00291252376966,2.9830525347173,-5.37888932586296,4.1385474378735e-07,2.65710746925123e-06,5.8149715131408,"Down",NA,"'IL33',"
"MARVELD1",-1.00440132737569,3.87406945570246,-7.12399545549558,1.06943998411333e-10,1.93601494051676e-09,13.8732698673183,"Down",NA,"'MARVELD1',"
"GSTA1",-1.00449417539643,2.31272089545264,-2.7566036138662,0.00681865492024751,0.0153878861839932,-3.38430601863707,"Down",NA,"'GSTA1',"
"HOXB8",-1.00549057906745,0.62705369197512,-3.39740548147272,0.00094206048972715,0.00266207872917019,-1.56535320870762,"Down",NA,"'HOXB8',"
"SERPINB11",-1.00661230733179,1.82077673050901,-2.63897585498383,0.00949774084936467,0.0205868914625009,-3.68267524845857,"Down",NA,"'SERPINB11',"
"BDH2",-1.00726167947298,2.27504199108069,-7.88926578102457,2.1928809968544e-12,6.51303484366545e-11,17.6885055145773,"Down",NA,"'BDH2',"
"RBPMS",-1.00807976858872,3.26924267344725,-6.65739566917125,1.0707835867766e-09,1.4266180157594e-08,11.6174501361113,"Down",NA,"'RBPMS',"
"SCNN1A",-1.00929588365955,3.93597429157782,-3.95399111073429,0.00013488588982661,0.000473175660375044,0.261212333283414,"Down",NA,"'SCNN1A',"
"PLN",-1.01053717416312,2.97778063521304,-4.57141056689641,1.25342409035582e-05,5.68679692857413e-05,2.52619641548443,"Down",NA,"'PLN',"
"DUSP4",-1.01115298321974,2.08407270727074,-4.4629464465424,1.93258591221509e-05,8.34727223280228e-05,2.1114662879152,"Down",NA,"'DUSP4',"
"TUBA4A",-1.01121333245389,3.8636475323756,-5.79076285216883,6.48619030335493e-08,5.19862887587017e-07,7.614040751148,"Down",NA,"'TUBA4A',"
"FUT3",-1.01226521004108,0.781132162738548,-4.66761945795833,8.4920596668011e-06,4.00986051926088e-05,2.89974631295001,"Down",NA,"'FUT3',"
"SGK1",-1.01341107285297,3.43079842100713,-4.12759704640238,7.07129859902897e-05,0.000265879662844511,0.873989383741996,"Down",NA,"'SGK1',"
"AQP2",-1.01501295041823,0.551942332599951,-3.57574195701986,0.000516489527165527,0.00155808384858885,-1.00385176284518,"Down",NA,"'AQP2',"
"CKM",-1.01517537427752,2.38030322699573,-2.30584400813493,0.0229564928950797,0.0445236036548658,-4.46462145612171,"Down",NA,"'CKM',"
"SLC24A3",-1.01560606427091,2.22105720443103,-7.29869414611039,4.45113662790995e-11,8.87603293072087e-10,14.7327395499087,"Down",NA,"'SLC24A3',"
"FBLN1",-1.01773985591262,4.73830353662982,-4.57265913329322,1.24714625454359e-05,5.66394169206695e-05,2.53101032214296,"Down",NA,"'FBLN1',"
"CYP4F3",-1.02037446123977,0.90813668470608,-4.24779766904827,4.47483516355242e-05,0.000176044236694914,1.30956773298653,"Down",NA,"'CYP4F3',"
"GGT6",-1.02130231693332,2.0884670247704,-4.60685329038254,1.0865657842606e-05,5.00939187665426e-05,2.66319569826653,"Down",NA,"'GGT6',"
"FEZ1",-1.0213401887358,1.58362531346577,-9.11944850942878,3.500506954231e-15,2.62050246008129e-13,24.0256262923048,"Down",NA,"'FEZ1',"
"CCDC69",-1.02367658282274,3.27136429060218,-6.00342373259858,2.42687494525469e-08,2.17087648139188e-07,8.57089414240666,"Down",NA,"'CCDC69',"
"ETS2",-1.02377650767796,4.33289278022278,-6.06698075485203,1.80322147641781e-08,1.67026589696996e-07,8.86030108272815,"Down",NA,"'ETS2',"
"CD248",-1.02386192971374,3.26274987747136,-5.03118813720138,1.8683116660602e-06,1.02328578387573e-05,4.35740005587411,"Down",NA,"'CD248',"
"NEURL1B",-1.0239630876046,3.14163781809416,-6.58334196114451,1.53501466053007e-09,1.95390785987751e-08,11.2652721583293,"Down",NA,"'NEURL1B',"
"SLC2A9",-1.02555377736573,1.16663906219906,-7.20815923683891,7.01677753396947e-11,1.33508810870298e-09,14.2863962400223,"Down",NA,"'SLC2A9',"
"FOSB",-1.02622555525737,3.21579227736484,-3.6215031135837,0.000441185388618307,0.00135349215796137,-0.856083004046725,"Down",NA,"'FOSB',"
"ITGA8",-1.02939187867514,2.36723406706099,-5.05163788888476,1.7124701612951e-06,9.46730628517444e-06,4.4414649893183,"Down",NA,"'ITGA8',"
"MPP2",-1.02999809538645,1.35477654834699,-10.4727631966258,2.58205272539825e-18,5.68238254001499e-16,31.1343697864515,"Down",NA,"'MPP2',"
"PRSS35",-1.03036869467779,0.883998164378442,-5.95921291394457,2.98130630081746e-08,2.60059889640552e-07,8.37049590414503,"Down",NA,"'PRSS35',"
"EGR1",-1.03040038501826,5.76250363523903,-4.29918669679758,3.67039140295851e-05,0.000147477715280335,1.49854205268548,"Down",NA,"'EGR1',"
"BTG3",-1.03047982199455,3.43565788667843,-8.04581952183529,9.76850422225231e-13,3.26144511483576e-11,18.483307510174,"Down",NA,"'BTG3',"
"PRELP",-1.03049887765823,4.17791762170713,-4.76019682180256,5.81197077430256e-06,2.84844266604267e-05,3.26411725931716,"Down",NA,"'PRELP',"
"RAB9B",-1.03082246666859,1.39109284487507,-8.89595114290426,1.14169396949684e-14,7.26626552154329e-13,22.8612890475364,"Down",NA,"'RAB9B',"
"RARRES2",-1.03258216986108,4.30126687009046,-4.21610995340146,5.0526423869342e-05,0.000196438382322642,1.19385804139123,"Down",NA,"'RARRES2',"
"SVIL",-1.03271533071947,3.88199045986926,-6.17692637307017,1.07507556524557e-08,1.07073774671622e-07,9.3645186673075,"Down",NA,"'SVIL',"
"C7",-1.03308944702737,3.66671050619309,-3.47682474494856,0.000722717971031229,0.00211117327024731,-1.3181477220447,"Down",NA,"'C7',"
"DOK4",-1.03354478467078,2.59572799614354,-10.0960934467246,1.9315020216737e-17,3.04144964895619e-15,29.1502350666716,"Down",NA,"'DOK4',"
"LPCAT2",-1.03424213814391,2.13561099952419,-6.77752328736227,5.95011917378894e-10,8.497644787211e-09,12.1922973472509,"Down",NA,"'LPCAT2',"
"ANTXR1",-1.03762858391963,3.9712053644378,-6.10211186915098,1.52924799927084e-08,1.44134385731069e-07,9.02092668876275,"Down",NA,"'ANTXR1',"
