"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","...8","...9","...10"
"JCAD",116.727344086986,-0.752739501978018,0.230182052059341,-3.27019198605443,0.0010747451514782,0.029889495637304,"down",NA,"'JCAD',"
"PARP4",973.171311609911,-0.76463956049245,0.216250817306105,-3.53589211831786,0.00040640061948392,0.0206587234767224,"down",NA,"'PARP4',"
"MEX3A",813.309323054694,-0.778297471729127,0.215837968036843,-3.6059340198953,0.000311032164343388,0.0187571741597323,"down",NA,"'MEX3A',"
"SHANK3",163.40313951807,-0.793027806472052,0.221872267170672,-3.57425385599015,0.000351228044839893,0.019975290179582,"down",NA,"'SHANK3',"
"GTF2I",1086.59480134515,-0.802166951874643,0.244210210022729,-3.28473961756138,0.00102076658860519,0.0290766920990994,"down",NA,"'GTF2I',"
"TTYH2",238.896422504469,-0.803192368532197,0.217043741135411,-3.70060138260838,0.000215089124047927,0.0163529678019482,"down",NA,"'TTYH2',"
"PTGER4",198.334644536511,-0.807596251319313,0.22824784958279,-3.53824254114772,0.00040279988024682,0.0206587234767224,"down",NA,"'PTGER4',"
"PLXNB3",631.429346720226,-0.830750793600264,0.269345821249193,-3.08432776030213,0.00204012701737475,0.0389602438287748,"down",NA,"'PLXNB3',"
"RALGAPA2",873.494631766285,-0.836386372934836,0.216069068172297,-3.8709213679206,0.000108424765010725,0.0118592694540537,"down",NA,"'RALGAPA2',"
"ADRA2A",6361.78471308561,-0.845669129583387,0.279092744861702,-3.03006489832775,0.00244501194641935,0.0409255386091227,"down",NA,"'ADRA2A',"
"ZNF384",439.787870615754,-0.876185907238315,0.258483928179488,-3.38971135810774,0.000699662501591055,0.0262660619147912,"down",NA,"'ZNF384',"
"EBF2",71.9971553169199,-0.91024769241145,0.29274702481933,-3.10933200080586,0.00187510886733784,0.0382868300643603,"down",NA,"'EBF2',"
"FAM169A",234.149863067693,-0.941977397294207,0.271430843627515,-3.47041399092759,0.000519656740775532,0.0230625125377986,"down",NA,"'FAM169A',"
"LDLR",627.891927678372,-0.991674442085787,0.321920856430638,-3.08049143842736,0.00206659296027378,0.039151490094271,"down",NA,"'LDLR',"
"ZNF354C",164.431744717859,-1.01750344424221,0.186759178634341,-5.44821117592511,5.08789284873266e-08,0.000303620679124868,"down",NA,"'ZNF354C',"
"HR",23.713825542448,-1.02042862059442,0.34826911727284,-2.9300003071906,0.00338961668766248,0.0477882871714742,"down",NA,"'HR',"
"TNC",428.033830816254,-1.04209650916916,0.329902504618202,-3.1588014476434,0.00158419379601189,0.035528787553263,"down",NA,"'TNC',"
"ZNF770",944.794788881537,-1.04947631361355,0.301808866885777,-3.47728787574269,0.000506513666038873,0.0229926226516987,"down",NA,"'ZNF770',"
"PCDHGB5",157.361770166196,-1.09300576485615,0.255722876109272,-4.27418063446583,1.91841463907903e-05,0.00493463226754126,"down",NA,"'PCDHGB5',"
"MICAL3",532.624447540979,-1.09540857504422,0.325904956537261,-3.36112892139762,0.000776245840542945,0.0266229907014699,"down",NA,"'MICAL3',"
"ASAP2",418.896806663087,-1.12310973001535,0.286878722045053,-3.91492865699175,9.04309433153035e-05,0.0109595347071739,"down",NA,"'ASAP2',"
"LRRC32",18.9603160675264,-1.12412525190869,0.358120507336658,-3.13895805707641,0.00169549714272664,0.0363970922812828,"down",NA,"'LRRC32',"
"PCDHB12",34.6426771732396,-1.16265433187907,0.390440279156142,-2.97780324917275,0.00290322286478071,0.0449535884369731,"down",NA,"'PCDHB12',"
"PRIMA1",18.6043583695511,-1.20338273823767,0.35215238293015,-3.41722162498148,0.000632637558880461,0.0250260218951799,"down",NA,"'PRIMA1',"
"HIST1H2BG",84.8155328900812,-1.36576402114454,0.425494594559861,-3.20982696045132,0.00132814900329055,0.0326952930419415,"down",NA,"'HIST1H2BG',"
"AKAP12",173.974733398567,-1.38823892358616,0.40389475727356,-3.4371303380051,0.000587912620587631,0.0246514714438557,"down",NA,"'AKAP12',"
"BMP6",45.9791043121375,-1.40010852436427,0.41860868902733,-3.34467143435921,0.000823800996596791,0.0268569234784888,"down",NA,"'BMP6',"
