"Gene","log2FC","rank","in_gene_set","background_pvalue","background_p.adjust"
"CKMT2",0.252553040103524,180,FALSE,0.0206332803402802,0.843403251480126
"CEBPB",0.25253669387149,181,FALSE,0.0346664190230413,0.910142923574761
"PTGES",0.252469549197259,182,FALSE,0.0535968419576839,0.961137546427122
"PIM3",0.252446979610264,183,FALSE,0.00778228890232549,0.618285935270407
"SCNN1A",0.252267129176301,184,FALSE,0.178131132999141,0.961953958507263
"IFT57",0.252259919917515,185,FALSE,0.033420819536603,0.910142923574761
"CBLL1",0.250787731460952,186,FALSE,0.00494503983014161,0.502003960089876
"CCL27",0.24902814455057,187,FALSE,6.08764592452832e-47,4.63498141578775e-44
"PFKP",0.248320428618092,188,FALSE,0.0221462926331731,0.843403251480126
"CTNNA2",0.247770727232035,189,FALSE,0.00536162801481147,0.531018418281672
"SREBF1",0.246910081907367,190,FALSE,0.0549545923700655,0.961137546427122
"LMAN1L",0.24635213333534,191,FALSE,0.17535347618595,0.961953958507263
"DUSP2",0.24625912730707,192,FALSE,0.0685543747649212,0.961953958507263
"SOCS2",0.245185677568878,193,FALSE,0.0713463518629856,0.961953958507263
"TUBA4A",0.244303814236233,194,FALSE,0.073385884135994,0.961953958507263
"TOB1",0.243713836178522,195,FALSE,0.0168863618979386,0.834475471687762
"SMKR1",0.24355063160497,196,FALSE,0.0316149172126112,0.899604244252604
"NEXN",0.243414031778721,197,FALSE,0.0723522959393211,0.961953958507263
"HSPB3",0.243050338005748,198,FALSE,0.0363160320424713,0.924912010262299
"SPSB1",0.241968482293128,199,FALSE,0.0369086051230208,0.925471098149195
"B4GALT1",0.241949316623376,200,FALSE,0.00571777878327513,0.544171727639513
"TSKU",0.241946757379228,201,FALSE,0.0254626800033189,0.843403251480126
"NRP1",0.241627112162489,202,FALSE,0.0698660970898115,0.961953958507263
"CHPT1",0.2403374571769,203,FALSE,0.0194487044013633,0.843403251480126
"SLC6A8",0.239654854055414,204,FALSE,0.00528065047765661,0.527285935400105
"NFIC",0.239652661150015,205,FALSE,0.00622119278142796,0.563189386178402
"ASB5",0.239273653264014,206,FALSE,0.0278421004372942,0.870745496251231
"XIRP1",0.238840032891326,207,FALSE,0.0164604497006202,0.834475471687762
"CLIP1",0.238074621888043,208,FALSE,0.00436956335710982,0.469676654261575
"TBX1",0.236995487369403,209,FALSE,0.145651308824898,0.961953958507263
"DDX21",0.236809488498032,210,FALSE,0.0166317702611209,0.834475471687762
